exp_nmbr,group,n_start,n_final,cell_type,cell_count
1,Control,60,9,ISC,531
1,Control,60,9,EC,444
1,Control,60,9,EE,184
1,CBD,60,15,ISC,588
1,CBD,60,15,EC,749
1,CBD,60,15,EE,118
2,Control,60,14,ISC,868
2,Control,60,14,EC,698
2,Control,60,14,EE,278
2,CBD,60,19,ISC,744
2,CBD,60,19,EC,944
2,CBD,60,19,EE,152
3,Control,60,16,ISC,988
3,Control,60,16,EC,788
3,Control,60,16,EE,319
3,CBD,60,23,ISC,936
3,CBD,60,23,EC,1141
3,CBD,60,23,EE,201
4,Control,60,15,ISC,810
4,Control,60,15,EC,724
4,Control,60,15,EE,299
4,CBD,60,21,ISC,840
4,CBD,60,21,EC,1048
4,CBD,60,21,EE,167
5,Control,60,10,ISC,584
5,Control,60,10,EC,489
5,Control,60,10,EE,196
5,CBD,60,18,ISC,722
5,CBD,60,18,EC,898
5,CBD,60,18,EE,147
6,Control,60,13,ISC,858
6,Control,60,13,EC,638
6,Control,60,13,EE,244
6,CBD,60,20,ISC,804
6,CBD,60,20,EC,998
6,CBD,60,20,EE,158
7,Control,60,14,ISC,784
7,Control,60,14,EC,672
7,Control,60,14,EE,282
7,CBD,60,21,ISC,842
7,CBD,60,21,EC,1052
7,CBD,60,21,EE,176
8,Control,60,17,ISC,993
8,Control,60,17,EC,822
8,Control,60,17,EE,333
9,CBD,60,24,ISC,963
9,CBD,60,24,EC,1196
9,CBD,60,24,EE,188
10,Control,60,13,ISC,676
10,Control,60,13,EC,642
10,Control,60,13,EE,264
10,CBD,60,21,ISC,758
10,CBD,60,21,EC,948
10,CBD,60,21,EE,149
